,tair,t_heat_sp,t_heat_vip,t_slab1,tout
466,23.4,21.1,23.0,23.1,10.1
467,23.4,21.1,23.0,23.1,9.900000013
468,23.5,21.1,23.0,23.1,9.8
469,23.3,21.1,23.0,23.1,9.799999993
470,23.2,21.1,23.0,23.1,9.700000013
471,23.3,21.1,23.0,23.1,9.7
472,23.1,21.1,23.0,23.1,8.300000047
473,23.1,21.1,23.0,23.1,7.899999993
474,23.1,21.1,23.0,23.1,7.7
475,23.0,21.1,23.0,23.1,7.7
476,23.0,21.1,23.0,23.1,7.600000007
477,22.7,21.1,23.0,23.0,7.5
478,22.7,21.1,23.0,23.0,7.200000007
479,22.6,21.1,23.0,23.0,7.299999987
480,22.9,21.1,23.0,23.0,7.3
481,22.8,21.1,23.0,23.0,7.200000003
482,23.0,21.1,23.0,23.0,7.199999997
483,23.2,21.1,23.0,23.1,7.1
484,23.3,21.1,23.0,23.1,7.1
485,23.4,21.1,23.0,23.1,7.199999993
486,23.4,21.1,23.0,23.1,7.3
487,23.7,21.1,23.0,23.1,7.200000007
488,23.6,21.1,23.0,23.1,7.299999987
489,23.7,21.1,23.0,23.1,7.39999999
490,23.7,21.1,23.0,23.1,7.499999997
491,23.7,21.1,23.0,23.1,7.6
492,23.9,21.1,23.0,23.1,7.6
493,23.9,21.1,23.0,23.1,7.6
494,24.1,21.1,23.0,23.1,7.6
495,24.2,21.1,23.0,23.1,7.6
496,24.3,21.1,23.0,23.1,7.599999993
497,24.3,21.1,23.0,23.1,7.500000013
498,24.3,21.1,23.0,23.1,7.40000001
499,24.3,21.1,23.0,23.1,7.4
500,24.4,21.1,23.0,23.1,7.399999997
501,24.3,21.1,23.0,23.1,7.3
502,24.3,21.1,23.0,23.1,7.3
503,24.3,21.1,23.0,23.2,7.3
504,24.2,21.1,23.0,23.1,7.2
505,24.2,21.1,23.0,23.1,7.199999993
506,24.1,21.1,23.0,23.1,7.100000013
507,24.0,21.1,23.0,23.1,7.00000001
508,24.0,21.1,23.0,23.1,7.0
509,23.9,21.1,23.0,23.1,6.9
510,23.8,21.1,23.0,23.1,6.89999999
511,23.7,21.1,23.0,23.1,6.800000013
512,23.7,21.1,23.0,23.1,6.899999993
513,23.6,21.1,23.0,23.1,6.8
514,23.4,21.1,23.0,23.1,6.9
515,23.4,21.1,23.0,23.1,6.9
516,23.5,21.1,23.0,23.0,6.99999999
517,23.4,21.1,23.0,23.0,7.0
518,23.4,21.1,23.0,23.0,7.0
519,23.2,21.1,23.0,23.0,7.0
520,23.2,21.1,23.0,23.0,7.0
521,23.2,21.1,23.0,23.0,6.900000007
522,23.2,21.1,23.0,22.9,6.9
523,23.0,21.1,23.0,22.9,7.0
524,22.9,21.1,23.0,22.9,7.0
525,23.2,21.1,23.0,22.9,7.09999999
526,23.0,21.1,23.0,22.9,7.000000003
527,23.0,21.1,23.0,22.9,7.000000003
528,22.9,23.0,23.0,22.9,7.09999999
